# PC88Behavior 割り込み受理ログ
#
# 記録しているのは Z80 が割り込みを受理した事実そのもの——
# 受理時の割り込みモード(im)・intr_ack()が返したレベル(level)・
# 受理直前PC(ret_pc、スタックに積まれる戻り番地)・分岐後の
# ハンドラ入口(handler_pc)・フレーム番号のみ。ROM の内容は含まない。
#
# メインCPUとサブCPUは別々のZ80として並行に走っており、互いの
# seq/frame を比較しても実際の前後関係にはならない。そのため
# 1本の列に混ぜず、CPUごとに節を分けて出す（メイン→サブの順）。
# 同一CPU内の節は seq の昇順＝発生順そのもの。
#
# clock 列（M6c）は main/sub・iolog/intlog を横断する共通の
# 単調増加通し番号。iolog の clock 列と同じ番号空間を共有して
# いるので、割り込み受理と I/O イベントの前後関係も判定できる
# （小さいほうが先に起きた）。詳細は q88h_clock.h を参照。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/diskB.d88
frames    : 3600

# main
# seq    clock   frame  cpu   im  level  ret_pc  handler_pc
   492  670515    292  main   2     2   918C    9456
   493  670610    292  main   2     4   9184    9469
   494  670633    292  main   2     2   9182    9456
   495  670768    292  main   2     2   9184    9456
   496  670887    292  main   2     4   918B    9469
   497  670945    292  main   2     2   918B    9456
   498  671077    292  main   2     2   918D    9456
   499  671085    292  main   2     4   9190    9469
   500  671196    292  main   2     2   9184    9456
   501  671330    293  main   2     2   9184    9456
   502  671362    293  main   2     4   9185    9469
   503  671449    293  main   2     2   918C    9456
   504  671583    293  main   2     2   918D    9456
   505  671639    293  main   2     4   918D    9469
   506  671702    293  main   2     2   9184    9456
   507  671836    293  main   2     2   9185    9456
   508  671916    293  main   2     4   9184    9469
   509  671974    293  main   2     2   9184    9456
   510  672004    293  main   2     2   9189    9456
   511  672108    293  main   2     4   9188    9469
   512  672123    293  main   2     2   9191    9456
   513  672257    293  main   2     2   9181    9456
   514  672385    293  main   2     4   9190    9469
   515  672395    293  main   2     2   9190    9456
   516  672511    293  main   2     2   918B    9456
   517  672645    294  main   2     2   918B    9456
   518  672661    294  main   2     4   9181    9469
   519  672761    294  main   2     2   910F    9456
   520  672864    294  main   2     2   9117    9456
   521  672895    294  main   2     4   9112    9469
   522  672953    294  main   2     2   9112    9456
   523  673012    294  main   2     2   9114    9456
   524  673061    294  main   2     4   9112    9469
   525  673105    294  main   2     2   9119    9456
   526  673208    294  main   2     2   9114    9456
   527  673276    294  main   2     4   9114    9469
   528  673301    294  main   2     2   910D    9456
   529  673404    294  main   2     2   9114    9456
   530  673490    294  main   2     4   9116    9469
   531  673500    294  main   2     2   9116    9456
   532  673600    294  main   2     2   9114    9456
   533  673702    295  main   2     2   910F    9456
   534  673704    295  main   2     4   910F    9469
   535  673762    295  main   2     2   910F    9456
   536  673850    295  main   2     2   9119    9456
   537  673870    295  main   2     4   910D    9469
   538  673943    295  main   2     2   9112    9456
   539  674046    295  main   2     2   910D    9456
   540  674084    295  main   2     4   9112    9469
   541  674139    295  main   2     2   9112    9456
   542  674242    295  main   2     2   910D    9456
   543  674299    295  main   2     4   9114    9469
   544  674335    295  main   2     2   9112    9456
   545  674438    295  main   2     2   910D    9456
   546  674513    295  main   2     4   9116    9469
   547  674571    296  main   2     2   9116    9456
   548  674586    296  main   2     2   9117    9456
   549  674679    296  main   2     4   9114    9469
   550  674689    296  main   2     2   9114    9456
   551  674782    296  main   2     2   9117    9456
   552  674884    296  main   2     2   9112    9456
   553  674893    296  main   2     4   9184    9469
   554  675001    296  main   2     2   9185    9456
   555  675135    296  main   2     2   9188    9456
   556  675170    296  main   2     4   918B    9469
   557  675254    296  main   2     2   9190    9456
   558  675388    296  main   2     2   9191    9456
   559  675446    296  main   2     4   9181    9469
   560  675504    296  main   2     2   9181    9456
   561  675563    296  main   2     2   9184    9456
   562  675645    296  main   2     4   9185    9469
   563  675682    296  main   2     2   918B    9456
   564  675816    297  main   2     2   918C    9456
   565  675922    297  main   2     4   918D    9469
