# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : (なし)
frames    : 600
type      : (なし)

[測定終了時のテキスト画面]
   1| How many files(0-15)?
  19|       load "        auto          go to         list          run

[メインCPU] 総アクセス回数: exec=5019141 read=4869253 write=1563198 in=14583 out=4340

[メインCPU 実行された番地 (fetch)]
  6F92-6F93  (2)
  6F96-6F97  (2)
  6F9A-6F9A  (1)
  6F9D-6F9D  (1)
  6FA0-6FA1  (2)
  6FA4-6FA4  (1)
  6FA7-6FA8  (2)
  6FB4-6FB4  (1)
  6FB7-6FB8  (2)
  6FBB-6FBD  (3)
  6FC2-6FC2  (1)
  6FC5-6FC6  (2)
  6FC8-6FCA  (3)
  6FCD-6FCD  (1)
  6FD0-6FD1  (2)
  6FD3-6FD3  (1)
  6FD6-6FD6  (1)
  6FD8-6FD8  (1)
  6FDA-6FDB  (2)
  6FDE-6FDE  (1)
  6FE2-6FE3  (2)
  6FE6-6FE6  (1)
  6FE8-6FE9  (2)
  6FEC-6FEC  (1)
  6FEE-6FEE  (1)
  6FF1-6FF1  (1)
  6FF3-6FF5  (3)
  6FF8-6FF8  (1)
  6FFA-6FFA  (1)
  6FFC-6FFD  (2)
  6FFF-6FFF  (1)
  7002-7002  (1)
  7005-7005  (1)
  7007-7007  (1)
  700A-700A  (1)
  700C-700C  (1)
  700F-7010  (2)
  7012-7012  (1)
  7014-7014  (1)
  7016-7017  (2)
  701A-701B  (2)
  701D-701E  (2)
  7020-7023  (4)
  7025-7027  (3)
  7029-702A  (2)
  702C-702D  (2)
  702F-7030  (2)
  7032-7032  (1)
  7035-7035  (1)
  7037-7037  (1)
  7039-7039  (1)
  703B-703B  (1)
  703D-703D  (1)
  703F-703F  (1)
  7041-7041  (1)
  7043-7043  (1)
  7045-7045  (1)
  7047-7047  (1)
  704A-704A  (1)
  704C-704C  (1)
  704E-704E  (1)
  7050-7050  (1)
  7053-7053  (1)
  7055-7055  (1)
  7058-7058  (1)
  705A-705A  (1)
  717F-717F  (1)
  7182-7185  (4)
  7187-7187  (1)
  72CD-72CF  (3)
  72D1-72D1  (1)
  72D4-72D4  (1)
  72D6-72D6  (1)
  72D9-72D9  (1)
  72DB-72DB  (1)
  72DE-72DE  (1)
  72E0-72E0  (1)
  72E2-72E2  (1)
  72E5-72E5  (1)
  72E8-72E8  (1)
  72EB-72EB  (1)
  72EE-72EE  (1)
  72F1-72F2  (2)
  72F5-72F5  (1)
  72F7-72F7  (1)
  72FA-72FA  (1)
  72FC-72FC  (1)
  72FF-72FF  (1)
  7302-7302  (1)
  7304-7306  (3)
  7308-7308  (1)
  730A-730B  (2)
  730E-730E  (1)
  7310-7310  (1)
  7312-7312  (1)
  7314-7314  (1)
  7316-7316  (1)
  7319-7319  (1)
  731B-731B  (1)
  731D-731F  (3)
  7321-7324  (4)
  7327-7327  (1)
  7329-7329  (1)
  732C-732C  (1)
  732E-732E  (1)
  7331-7331  (1)
  7333-7334  (2)
  7337-7338  (2)
  733B-733B  (1)
  733E-733E  (1)
  7341-7341  (1)
  754F-754F  (1)
