# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/voiceeditor.d88
frames    : 3600
type      : (なし)

[測定終了時のテキスト画面]
   0|   [PCM VOICE EDITOR Ver.02]              2.0sec 16.0KHz
   1|     Programed By HAYASHI.                    BANK= 0
   3|     PLAY:[1]<->[7]
   5|     SUMPLING:[F5]
   7|     BANK:    [ROLL]
   9|     LOAD:    [F1]
  10|     SAVE:    [F2]
  11|     RAMwrite:[F3]
  12|     RAMread: [F4]
  14|     EDIT:    [KANA]
  15|     REPEAT:  [CAPS]
  16|     BANKslct:[TAB]
  18|     VOLUME= 128  [    ]

[メインCPU] 総アクセス回数: exec=31038976 read=25109011 write=7885738 in=239734 out=235093

[メインCPU 実行された番地 (fetch)]
  1365-1365  (1)
  1368-1368  (1)
  136B-136B  (1)
  136D-136D  (1)
  1370-1370  (1)
  1373-1374  (2)
  1377-1378  (2)
  137A-137A  (1)
  137C-137C  (1)
  137E-137E  (1)
  1381-1381  (1)
  1383-1383  (1)
  1386-1386  (1)
  1388-1388  (1)
  138B-138B  (1)
  138D-138D  (1)
  1390-1390  (1)
  1392-1392  (1)
  139E-139E  (1)
  13A0-13A0  (1)
  13AC-13AC  (1)
  13AE-13AE  (1)
  13D4-13D4  (1)
  13D6-13D6  (1)
  13D9-13D9  (1)
  13DB-13DB  (1)
  13DE-13DE  (1)
  13E0-13E0  (1)
  13E3-13E3  (1)
  13E5-13E5  (1)
  13E8-13E8  (1)
  13EA-13EA  (1)
  13ED-13ED  (1)
  13EF-13EF  (1)
  13F2-13F2  (1)
  13F5-13F5  (1)
  13F7-13F7  (1)
  1404-1406  (3)
  1409-140B  (3)
  140E-140F  (2)
  1412-1415  (4)
  1417-1418  (2)
  141A-141B  (2)
  141D-141E  (2)
  1420-1420  (1)
  1423-1423  (1)
  1426-1427  (2)
  142A-142A  (1)
  142C-142C  (1)
  142E-142E  (1)
  1430-1430  (1)
  1432-1432  (1)
  1434-1436  (3)
  1439-1439  (1)
  143C-143D  (2)
  143F-143F  (1)
  1441-1441  (1)
  1443-1443  (1)
  1445-1445  (1)
  1447-1447  (1)
  1449-1449  (1)
  144B-144B  (1)
  144D-144D  (1)
  144F-1456  (8)
  1479-1479  (1)
  147C-1480  (5)
  1482-1482  (1)
  1484-1484  (1)
  1490-1490  (1)
  1492-1492  (1)
  1499-149C  (4)
  149E-14A6  (9)
  14A9-14AA  (2)
  14AD-14AD  (1)
  14AF-14B4  (6)
  14B6-14B6  (1)
  14CE-14CE  (1)
  14D1-14D3  (3)
  14D5-14D5  (1)
  14D7-14D7  (1)
  14D9-14D9  (1)
  14DC-14DD  (2)
  14E0-14E1  (2)
  14E4-14E5  (2)
  14E7-14E7  (1)
  14EA-14EA  (1)
  14ED-14ED  (1)
  14F0-14F5  (6)
  1506-150A  (5)
  150C-150D  (2)
  1510-1510  (1)
  1524-1524  (1)
  1527-1527  (1)
  1529-1529  (1)
  152B-152D  (3)
  1532-1534  (3)
  1537-1539  (3)
  153B-153B  (1)
  153E-153E  (1)
  1540-1540  (1)
  1543-1543  (1)
  1546-1547  (2)
  1549-1549  (1)
  1551-1551  (1)
  1553-1553  (1)
  1555-155A  (6)
  1589-158C  (4)
  158F-158F  (1)
  1592-1593  (2)
  1596-159A  (5)
  159D-159F  (3)
  15A2-15A3  (2)
  15A5-15A5  (1)
  15A8-15AA  (3)
  15AD-15AF  (3)
  15B2-15B2  (1)
  15B4-15B4  (1)
  15B6-15B6  (1)
  15B8-15B8  (1)
  15BA-15BB  (2)
  15BE-15C2  (5)
  15C5-15C8  (4)
  15CB-15CC  (2)
  15CE-15CE  (1)
  15D1-15D7  (7)
  15D9-15D9  (1)
  1796-1797  (2)
  1799-1799  (1)
  179C-179D  (2)
  179F-17A0  (2)
  17A3-17A4  (2)
  17C9-17C9  (1)
  17CB-17CB  (1)
  17CE-17D1  (4)
  17D3-17D3  (1)
  17D6-17D7  (2)
  17D9-17D9  (1)
  17DC-17DC  (1)
  17DF-17DF  (1)
  17E5-17E5  (1)
  17E8-17EC  (5)
  181A-181A  (1)
  181C-181C  (1)
  181E-181E  (1)
  1820-1820  (1)
  1822-1822  (1)
  1825-1826  (2)
  1875-1875  (1)
  1877-1877  (1)
  187A-187A  (1)
  187D-187D  (1)
  1880-1880  (1)
  1883-1884  (2)
  1887-1887  (1)
  188A-188B  (2)
  188D-188D  (1)
  188F-188F  (1)
  1891-1894  (4)
  1896-1896  (1)
  1899-189A  (2)
  189D-18A1  (5)
  18A3-18A3  (1)
  18A6-18A6  (1)
  18A9-18A9  (1)
  18AC-18AF  (4)
  1AB4-1AB4  (1)
  1AB7-1AB8  (2)
  1ABA-1ABB  (2)
  1ABD-1ABE  (2)
  1B84-1B84  (1)
  1B87-1B88  (2)
  1B8B-1B8B  (1)
  1B8D-1B8D  (1)
  1B90-1B93  (4)
  1B96-1B97  (2)
  1B9A-1B9D  (4)
  1BA0-1BA2  (3)
  1BBB-1BBC  (2)
  1BBF-1BBF  (1)
  1BC2-1BC2  (1)
  1BC5-1BC7  (3)
  1BCA-1BCA  (1)
  1BCD-1BD7  (11)
  1BD9-1BDA  (2)
  1BDD-1BDF  (3)
  1C37-1C37  (1)
  1C49-1C49  (1)
  1C4B-1C4B  (1)
  1C71-1C75  (5)
  1C78-1C80  (9)
  1D28-1D28  (1)
  1D2A-1D2A  (1)
  1D2C-1D2D  (2)
  1D30-1D30  (1)
  1D33-1D37  (5)
  1D39-1D39  (1)
  1D3B-1D3B  (1)
  1D3D-1D3F  (3)
  1D41-1D41  (1)
  1D43-1D43  (1)
  1D45-1D45  (1)
  1D47-1D47  (1)
  1D49-1D49  (1)
  1D4B-1D4B  (1)
  1D4D-1D4E  (2)
  1D67-1D68  (2)
  1D6A-1D6A  (1)
  1D73-1D73  (1)
  1D75-1D75  (1)
  1D7E-1D7E  (1)
  1D80-1D80  (1)
  1D89-1D8A  (2)
  1D8C-1D8D  (2)
  1D9A-1D9A  (1)
  1D9C-1D9C  (1)
  1D9E-1D9E  (1)
  1DA0-1DA0  (1)
  1DA2-1DA3  (2)
  1DCC-1DCD  (2)
  1DD0-1DD0  (1)
  1DD3-1DD6  (4)
  1DD9-1DDB  (3)
  1DDE-1DDE  (1)
  1DE1-1DE1  (1)
  1DE9-1DEC  (4)
  1DEF-1DF0  (2)
  1DF3-1DF4  (2)
  1DF7-1DF7  (1)
  1DF9-1DFC  (4)
  1DFF-1E00  (2)
  1E03-1E05  (3)
  1E07-1E09  (3)
  1E0C-1E0E  (3)
  1E11-1E13  (3)
  1E16-1E16  (1)
  1E19-1E19  (1)
  1E1C-1E1C  (1)
  1E1E-1E20  (3)
  1E23-1E23  (1)
  1E25-1E25  (1)
  1E28-1E28  (1)
  1E38-1E38  (1)
  1E3B-1E41  (7)
  1E43-1E48  (6)
  1E4A-1E4A  (1)
  1E4C-1E4C  (1)
  1E4E-1E4F  (2)
  1E52-1E56  (5)
  1E58-1E5B  (4)
  1E5D-1E60  (4)
  1E62-1E6A  (9)
  1E6D-1E71  (5)
  1E73-1E73  (1)
  1E76-1E78  (3)
  1E7A-1E7A  (1)
  1E7C-1E7D  (2)
  1E80-1E81  (2)
  1E84-1E87  (4)
  1E89-1E8B  (3)
  1E9B-1EA6  (12)
  1EBB-1EBB  (1)
  1EBD-1EBD  (1)
  1EBF-1EBF  (1)
  1EC1-1EC4  (4)
  1EC6-1EC6  (1)
  1EC8-1EC8  (1)
  1ECA-1ECE  (5)
  1ED0-1ED5  (6)
  1ED9-1EE8  (16)
  1F53-1F55  (3)
  1F58-1F58  (1)
  1F5A-1F5A  (1)
  1FA5-1FA6  (2)
  2044-2046  (3)
  2065-2066  (2)
  206C-206C  (1)
  206F-2072  (4)
  2074-2074  (1)
  2077-2078  (2)
  207B-207B  (1)
  207E-207F  (2)
  2083-2083  (1)
  2086-208C  (7)
  2092-2092  (1)
  2095-2097  (3)
  2099-209A  (2)
  209C-209D  (2)
  20B6-20BA  (5)
  20BD-20BE  (2)
  20C1-20C1  (1)
  20C4-20C4  (1)
  20C7-20CB  (5)
  20CD-20CE  (2)
  20D1-20D3  (3)
  20D6-20DA  (5)
  20DD-20DE  (2)
  20E1-20E3  (3)
  20E6-20E8  (3)
  20EB-20F4  (10)
  20F7-20F7  (1)
  20F9-20F9  (1)
  20FB-20FC  (2)
  20FF-2104  (6)
  2106-2107  (2)
  210A-211B  (18)
  211F-211F  (1)
  2122-2122  (1)
  212A-212B  (2)
  212E-212F  (2)
  2134-2136  (3)
  2139-2139  (1)
  213C-2140  (5)
  2143-2146  (4)
  2149-2162  (26)
  2165-2166  (2)
  2168-216B  (4)
  21A0-21A1  (2)
  21A4-21A5  (2)
  21A8-21A8  (1)
  21BC-21BC  (1)
  21BF-21BF  (1)
  21C2-21C4  (3)
  21C6-21C6  (1)
  21C9-21C9  (1)
