record	candidate_id	arm	physical_row	char_count	sha256
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L11	1	77	5bb0a040a8defc4448bdac5c035db3b7f221de3fdaea59ef37241f3cbc38e336
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L11	2	12	5e8613bc3856af698d6a5855741a859fb7cd876ac56e75d053d6708923bb02df
summary	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L11	-	3	b58cef53be2a985bf2a361a07e4524e1d9876f84af289c27be0e7fea2d0dcad4
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	0	76	53bd3564ebfcd0db1bb597ba20a9cb70703370a48262a48a041bf55ba29c2bac
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	1	76	6b7cc4361fe87543a6766148a4e07561b451c60b4d655716e40025220a018e93
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	2	76	c70a6f9674131483053faacb92dc6cdeead77c13b643974d1c6d909a47491268
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	3	76	6c1bbe5a99e3a64b9e13f518cc35ecbd2a6b7be58724547d0c0d548a3178e67f
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	4	76	c321bc551ea7797d003b51a4e993593cc441bf5af4feec50fa99c0e78f6db225
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	5	76	0a2db34b845063798be2f5e33c557d65969fca4105a6b71b7600125b221ccff9
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	6	76	7824d38dca37aeb4d799723ee9f77b330c213c73c879e700a2e60152158acbfb
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	7	76	e152b0de7a20ef2106d8c5cc758d3d3810f0ff58848b439528c92ebd5a4bcc67
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	8	76	2382347ec18ecbc9550a9436b828a27f1a75e9b3d93d6a0dec8551fe4ed38362
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	9	76	164d2bb598167ca4a45470116bb4c4f86ac35ddf23aad032eb8adc52296c463a
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	10	76	0fc790b634042889a90e3529493d729d4deb35155863e7fe9ef3ebfdf85728a9
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	11	76	a5fc256410cea95b7776329f2886c3106a6d9d3d0644179df2a943ee3bcce2bd
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	12	76	0a2612724d6f0bd9a6e00002774daa6af503693c01ab8ac29741c00d2df4ab60
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	13	76	85f2216c07374930592d2be78ee84cc4008dc9454a8c3b5ca2efc11bf9cb1359
row	files_layout_rule_G5_SPLIT63_80BLANK_00DOT_SECTORS	L96	14	76	27695218bb45957a505b968dc71cf2508bfffc8a59ffcdc09ecce1c9e353d174
